이름,artist,image,link,month,producer,rank_status,ranking,sales_volume,title
Rollin`,브레이브걸스 (Brave Girls),https://circlechart.kr/uploadDir/albumImg/thumb/20210302_B71C9F1C0E618E35D1BC12AEB4A9DBEA.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,브레이브 엔터테인먼트,-1,64,,롤린 (Rollin`)
그 해 우리는 OST Part.1,10cm,https://circlechart.kr/uploadDir/albumImg/thumb/20211214_CE67FE90A5EAD3643F5413B7B3A6274A.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,모스트콘텐츠,hot,47,,서랍
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/7AC2F7A407974DE1B757C8346E5361D6.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,12,170,,전하지 못한 진심 (Feat. Steve Aoki)
SQUARE UP,BLACKPINK,https://circlechart.kr/uploadDir/albumImg/thumb/F0A31FDB3B7A4E80A9BDF6F36BD7D918.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,YG Entertainment,-2,39,,뚜두뚜두 (DDU-DU DDU-DU)
그날에 나는 맘이 편했을까,이예준,https://circlechart.kr/uploadDir/albumImg/thumb/20201208_7F9117DA826E5CED7FC5D72DADD06A69.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,뮤니콘,-,160,,그날에 나는 맘이 편했을까
MAP OF THE SOUL : PERSONA,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/7BEFCABA81DA4C1FAE6B0573D98283B4.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-2,15,,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
GO生,Stray Kids (스트레이 키즈),https://circlechart.kr/uploadDir/albumImg/thumb/20200623_E28D42D22700EAC15D792A1D272E4C35.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-7,114,,神메뉴
이태원 클라쓰 OST Part.12,V,https://circlechart.kr/uploadDir/albumImg/thumb/20200317_837176CD198CFC517D6119A869EB3447.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,블렌딩,-4,142,,Sweet Night
조각집,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/20220104_2B9CD67495E74035F6DF559D6C55D87C.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,EDAM엔터테인먼트,hot,32,,드라마
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/DE71DB67198F40B182AD553D81ABBBD4.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-12,180,,Airplane pt.2
Sticker - The 3rd Album,NCT 127,https://circlechart.kr/uploadDir/albumImg/thumb/20210921_E581CA8B7AE212C8682BA2948C70C7D2.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,SM Entertainment,-52,195,,Sticker
추억은 만남보다 이별에 남아,정동하,https://circlechart.kr/uploadDir/albumImg/thumb/20210209_CF44C551634C2487FF09E1FBF7E82E9E.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,뮤직원 컴퍼니,-4,127,,추억은 만남보다 이별에 남아
Still I Love You,토요태,https://circlechart.kr/uploadDir/albumImg/thumb/20211221_95CF46E958116FD9CBA7FA2D1C217C8A.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,MBC,hot,123,,Still I Love You
Return of The Girl,EVERGLOW (에버글로우),https://circlechart.kr/uploadDir/albumImg/thumb/20211207_8D4B3C36E0DB69F680194155741D38BB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,위에화엔터테인먼트코리아,-81,131,,Pirate
The Perfect Red Velvet - The 2nd Album Repackage,레드벨벳(Red Velvet),https://circlechart.kr/uploadDir/albumImg/thumb/2653A70996594FE3BDFB013910F20391.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,SM Entertainment,12,191,,Bad Boy
세 번째 `고백`,멜로망스(Melomance),https://circlechart.kr/uploadDir/albumImg/thumb/20210907_D2EE01690E6EDB8044B89122EA1288EB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,"카카오엔터테인먼트, 민트페이퍼, 광합성",-5,105,,고백
NOEASY,Stray Kids (스트레이 키즈),https://circlechart.kr/uploadDir/albumImg/thumb/20210831_4C0F3E85E15AAEBA7C79FEA3D9E45D31.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,JYP Entertainment,-5,56,,소리꾼
`키스 먼저 할까요?` OST Part 3,폴킴,https://circlechart.kr/uploadDir/albumImg/thumb/55A1EA1F83DF4E2593945FF10D112A5F.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,SM Entertainment,4,107,,"모든 날, 모든 순간 (Every day, Every Moment)"
Hello Future - The 1st Album Repackage,NCT DREAM,https://circlechart.kr/uploadDir/albumImg/thumb/20210706_F5866F670E98997CB408F15191410E1C.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,SM Entertainment,71,187,,오르골 (Life Is Still Going On)
신사와 아가씨 OST Part.2,임영웅,https://circlechart.kr/uploadDir/albumImg/thumb/20221006_2613DFCB7601858BDBE03DD6377F4809.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,모스트콘텐츠,6,27,,사랑은 늘 도망가
사이렌 Remix,호미들,https://circlechart.kr/uploadDir/albumImg/thumb/20210323_F89BE1328710A6AFE9F3AC377B37CDC1.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,영앤리치 레코즈,-7,119,,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
Dear OHMYGIRL,오마이걸 (OH MY GIRL),https://circlechart.kr/uploadDir/albumImg/thumb/20210518_DC9FD5A0A8546C1591D03C04465393A8.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,WM엔터테인먼트,-1,68,,Dun Dun Dance
화양연화 Young Forever,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/5757CAB6A81E452AB941098ABB2665D8.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,BIGHIT MUSIC / HYBE,-36,200,,Save ME
reality in BLACK,마마무 (Mamamoo),https://circlechart.kr/uploadDir/albumImg/thumb/4640260BA3BB40D9AFEF8E8DAD6BAF67.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,RBW,3,132,,HIP
NONSTOP,오마이걸 (OH MY GIRL),https://circlechart.kr/uploadDir/albumImg/thumb/20200505_1ECFEF89C9CDDBAB611CE0552CB7AE0E.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202201,2201,WM엔터테인먼트,-26,188,,살짝 설렜어 (Nonstop)
