이름,artist,image,link,month,producer,rank_status,ranking,sales_volume,title
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/C7030ECF51A54A979F6FFD2E3AB1F138.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,1,54,,FAKE LOVE
옛이야기,케이시 (Kassy),https://circlechart.kr/uploadDir/albumImg/thumb/20211102_9F083F64E628CFF14D3D95BE69EC1215.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,넥스타엔터테인먼트,-32,196,,나 그댈위해 시 한편을 쓰겠어
Red Moon : Beyond The Light,마크툽 (Maktub),https://circlechart.kr/uploadDir/albumImg/thumb/20210928_81C7663283E150C9B1788BEEE545BB66.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,MAKTUB Company,-11,135,,찰나가 영원이 될 때 (The Eternal Moment)
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/919D81857A00473AA461018F53443DC1.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,6,156,,Anpanman
사랑이 아니었다고 말하지 마요,이예준,https://circlechart.kr/uploadDir/albumImg/thumb/20220118_31F2BC17F5C4DA6CAD94120D37A60D5A.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,이예준,33,140,,사랑이 아니었다고 말하지 마요
NONSTOP,오마이걸 (OH MY GIRL),https://circlechart.kr/uploadDir/albumImg/thumb/20200505_1ECFEF89C9CDDBAB611CE0552CB7AE0E.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,WM엔터테인먼트,22,167,,살짝 설렜어 (Nonstop)
밤편지,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/DC64394E1EB747EC8FEA6D2967D7ED24.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,"페이브엔터테인먼트,카카오 M",-13,165,,밤편지
Child - SM STATION : NCT LAB,마크 (MARK),https://circlechart.kr/uploadDir/albumImg/thumb/20220208_CFCA8C526AB9AEB762FFF3FF4E2CBFAD.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,SM Entertainment,new,29,,Child
항해,AKMU (악뮤),https://circlechart.kr/uploadDir/albumImg/thumb/D3F20FAD1F1A45E79D1DCC9366428DE5.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,YG Entertainment,-10,84,,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
twicetagram,TWICE,https://circlechart.kr/uploadDir/albumImg/thumb/F8A728863E54401D85ABBC15A14DFDD5.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,JYP Entertainment,28,182,,LIKEY
멜로디,ASH ISLAND,https://circlechart.kr/uploadDir/albumImg/thumb/20210302_399078548C62FCF1ECC4FBECD392338E.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,앰비션뮤직,-27,176,,멜로디
BORDER : CARNIVAL,ENHYPEN,https://circlechart.kr/uploadDir/albumImg/thumb/20210504_EF8445ABB05C006217B90F49044C2B0B.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,빌리프랩,-2,74,,FEVER
Stay Alive (Prod. SUGA of BTS),정국,https://circlechart.kr/uploadDir/albumImg/thumb/20220216_AECDD953C79537A7D3EB98CF4F76250F.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,new,5,,Stay Alive (Prod. SUGA of BTS)
Celebrity,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/20210202_188C7C5F43D4EE1027B6361A8AF2C7D0.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,EDAM엔터테인먼트,-4,33,,Celebrity
Return,iKON,https://circlechart.kr/uploadDir/albumImg/thumb/843E6B41A7164778AE08B19AFD7476BA.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,YG Entertainment,15,172,,사랑을 했다 (LOVE SCENARIO)
HORN,에이핑크 (Apink),https://circlechart.kr/uploadDir/albumImg/thumb/20220222_E94DD9FFD660F53908BFE46AD9EB9FA0.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,아이에스티 엔터테인먼트,new,105,,Dilemma
LOVE YOURSELF 結 `Answer`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/3DE7A4752CB946289A5AF60DC8E524BD.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,6,82,,IDOL
MAP OF THE SOUL : PERSONA,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/146C155494024EFDAB98737B8E196F73.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,5,129,,HOME
The Perfect Red Velvet - The 2nd Album Repackage,레드벨벳(Red Velvet),https://circlechart.kr/uploadDir/albumImg/thumb/2653A70996594FE3BDFB013910F20391.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,SM Entertainment,-6,192,,Bad Boy
HAPPEN,헤이즈 (Heize),https://circlechart.kr/uploadDir/albumImg/thumb/20210525_D43384CC8BBD6A3EC0F5E5E83114FFA7.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,피네이션,-19,121,,헤픈 우연
LOVE YOURSELF 承 `Her`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/0CEA025CB2394AA7991F9E8EB3BF6A82.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,23,144,,보조개
ELEVEN,IVE (아이브),https://circlechart.kr/uploadDir/albumImg/thumb/20211207_23F26B43EC5FA791DDB3F7FE704E67B9.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,스타쉽엔터테인먼트,-,1,,ELEVEN
혼돈의 장: FREEZE,투모로우바이투게더,https://circlechart.kr/uploadDir/albumImg/thumb/20210608_9BF7B50B6D8796E4EA1EFAC0528B2EEB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,-16,125,,0X1=LOVESONG (I Know I Love You) (Feat. Seori)
호랑수월가,탑현,https://circlechart.kr/uploadDir/albumImg/thumb/20220118_EA8CCB141A03C92EBCA56C707E68CACE.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,탑현월드,hot,39,,호랑수월가
XOXO,전소미,https://circlechart.kr/uploadDir/albumImg/thumb/20211102_3D684E302167E1A838067FAE3980AC62.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,The Black Label,-22,101,,XOXO
MAP OF THE SOUL : PERSONA,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/F0737FEC82CE4B9DAC4757570373B050.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,-,112,,소우주 (Mikrokosmos)
내일은 미스터트롯 우승자 특전곡,임영웅,https://circlechart.kr/uploadDir/albumImg/thumb/20200407_92C736CE1FFD8DCE45C5EEE2159E7DB2.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,"TV CHOSUN, 쇼플레이",3,157,,이제 나만 믿어요
DIMENSION : DILEMMA,ENHYPEN,https://circlechart.kr/uploadDir/albumImg/thumb/20211019_621B2193B96D2E8858EE05268B0DF961.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,빌리프랩,-34,130,,Tamed-Dashed
신호등,이무진,https://circlechart.kr/uploadDir/albumImg/thumb/20210518_38D740DFF6A4C54D8D5815CF330BC740.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,쇼플레이,-8,45,,신호등
FIRST IMPACT,Kep1er (케플러),https://circlechart.kr/uploadDir/albumImg/thumb/20220111_C8E5E2699DE6A0CBF298200A55D49B31.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,"WAKEONE, 스윙엔터테인먼트",-,6,,WA DA DA
Make It Right,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/8CBD27995F8D4990A0450D83B9C402DB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,7,90,,Make It Right (Feat. Lauv)
LOVE YOURSELF 結 `Answer`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/082F468FCB1448229AE8C85EC9870951.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,7,141,,MIC Drop (Steve Aoki Remix) (Full Length Edition)
2021 Winter SMTOWN : SMCU EXPRESS,"태용 (TAEYONG), 제노 (JENO), 헨드리 (HENDERY), 양양 (YANGYANG), 지젤 (GISELLE)",https://circlechart.kr/uploadDir/albumImg/thumb/20220104_39571E3282BC317C25045D3172F01CB1.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,SM Entertainment,-10,36,,ZOO
삐삐,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/8D5E77DE5984485EBB3943162BA033E0.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,Kakao Entertainment,-7,191,,삐삐
1+1=1,현아 & 던,https://circlechart.kr/uploadDir/albumImg/thumb/20210914_38F38F8884F71EF1EE48FB21EC61D7DB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,피네이션,-9,142,,PING PONG
Taste of Love,TWICE,https://circlechart.kr/uploadDir/albumImg/thumb/20210615_474F07993708CD6942441459C23DE8E2.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,JYP Entertainment,-2,50,,Alcohol-Free
LOVE YOURSELF 承 `Her`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/BD891B6735104F9AB1406B4685AFE9F9.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,8,110,,Pied Piper
비가 오는 날엔 (2021),헤이즈 (Heize),https://circlechart.kr/uploadDir/albumImg/thumb/20210810_DD1F3290A467794FA41E9A5D5DCDA134.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,PLAYLIST,-31,175,,비가 오는 날엔 (2021)
추억은 만남보다 이별에 남아,정동하,https://circlechart.kr/uploadDir/albumImg/thumb/20210209_CF44C551634C2487FF09E1FBF7E82E9E.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,뮤직원 컴퍼니,-10,137,,추억은 만남보다 이별에 남아
6집 싸이6甲 Part 1,싸이 (Psy),https://circlechart.kr/uploadDir/albumImg/thumb/7CF146C61A53479BB99603C52CD82AC3.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,YG Entertainment,10,111,,강남스타일
Take,숀 (SHAUN),https://circlechart.kr/uploadDir/albumImg/thumb/209FD0570FE944879925FAA4D735BB36.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,디씨톰엔터테인먼트,14,143,,Way Back Home
Rollin`,브레이브걸스 (Brave Girls),https://circlechart.kr/uploadDir/albumImg/thumb/20210302_B71C9F1C0E618E35D1BC12AEB4A9DBEA.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,브레이브 엔터테인먼트,-5,70,,롤린 (Rollin`)
최고의 사랑 OST Part 4,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/DC227F8EB3DC4ABA95819EE17B1182A3.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,더그루브엔터테인먼트,-9,122,,내 손을 잡아
SMiLEY,YENA(최예나),https://circlechart.kr/uploadDir/albumImg/thumb/20220125_E75396AA4D9F1424061C4DB8B67483A4.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,위에화엔터테인먼트코리아,49,15,,SMILEY (Feat. BIBI)
지리산 OST Part.4,진 (JIN),https://circlechart.kr/uploadDir/albumImg/thumb/20211116_0C558C2BAAA9F187A45A9ED9440895E3.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,"에이스토리, 모스트콘텐츠",-10,120,,Yours
BORDER : CARNIVAL,ENHYPEN,https://circlechart.kr/uploadDir/albumImg/thumb/20210504_E68B3C3841E712E63ED56CC96DEC1AFE.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,빌리프랩,-3,97,,Drunk-Dazed
Bipolar,BE`O (비오),https://circlechart.kr/uploadDir/albumImg/thumb/20211019_F52268E86BA25DD7E3EEC66B56C8D41B.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,페임어스 엔터테인먼트,-9,94,,문득
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/DE71DB67198F40B182AD553D81ABBBD4.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,-,180,,Airplane pt.2
Feel Special,TWICE,https://circlechart.kr/uploadDir/albumImg/thumb/2AECE86541344C47B9F010B2AA38AB10.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,JYP Entertainment,22,67,,Feel Special
아무노래,지코 (ZICO),https://circlechart.kr/uploadDir/albumImg/thumb/09789E8DDAFF4AC9A59034C63C49ACB0.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,KOZ 엔터테인먼트,-5,184,,아무노래
혼돈의 장: FIGHT OR ESCAPE,투모로우바이투게더,https://circlechart.kr/uploadDir/albumImg/thumb/20210824_BE67AEA82553B7E49CC95B10120D97AB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,-7,91,,LO$ER=LO♡ER
화양연화 Young Forever,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/F3B766E65979472483B2A297DB8A2367.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,-24,163,,불타오르네 (FIRE)
MAP OF THE SOUL : 7,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/20200225_F33E721EA38E773341044EFEC6F5D95A.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,-3,186,,00:00 (Zero O`Clock)
Summer Nights,TWICE,https://circlechart.kr/uploadDir/albumImg/thumb/31D4C364C5BB4FDF9414B889CA05AC8B.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,JYP Entertainment,36,190,,Dance The Night Away
ALL OUT,"(여자)아이들, Madison Beer, Lexie Liu (려위위), Jaira Burns, 세라핀 (Seraphine), K/DA, League of Legends",https://circlechart.kr/uploadDir/,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,라이엇 게임즈,-16,161,,MORE
INVU - The 3rd Album,태연 (TAEYEON),https://circlechart.kr/uploadDir/albumImg/thumb/20220222_F324F2333C913013D42D69C40179A440.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,SM Entertainment,new,14,,INVU
Butter / Permission to Dance,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/20210713_F9AF540FF875DC0722345EAE1700513D.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,-,8,,Permission to Dance
STEREOTYPE,STAYC(스테이씨),https://circlechart.kr/uploadDir/albumImg/thumb/20210914_2D97D97CBA2D57E56D041229B4D7CAD5.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,하이업엔터테인먼트,-7,59,,색안경 (STEREOTYPE)
strawberry moon,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/20211026_D33CFAA7EA3638A96DA705C16EA71437.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,EDAM엔터테인먼트,-9,31,,strawberry moon
MAP OF THE SOUL : 7,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/20200225_C79BF2656DB69BCF156C5C31A89D16D5.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,BIGHIT MUSIC / HYBE,6,69,,Filter
눈이 오잖아,이무진,https://circlechart.kr/uploadDir/albumImg/thumb/20211207_24598EEB0C4C534B7D25E3D98D95BF00.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202202,2202,쇼플레이,-10,34,,눈이 오잖아 (Feat.헤이즈)
Not Shy,ITZY (있지),https://circlechart.kr/uploadDir/albumImg/thumb/20200825_0E7B9C0D6D3244E4AF8FFEB5F7652C0D.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,JYP Entertainment,-12,178,,Not Shy
Red Moon : To You My Light,마크툽 (Maktub),https://circlechart.kr/uploadDir/albumImg/thumb/A0420AD4BCA6460FB60EFBD711BBA4C8.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,MAKTUB Company,-9,142,,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
밤편지,아이유 (IU),https://circlechart.kr/uploadDir/albumImg/thumb/DC64394E1EB747EC8FEA6D2967D7ED24.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,"페이브엔터테인먼트,카카오 M",-15,180,,밤편지
DIMENSION : DILEMMA,ENHYPEN,https://circlechart.kr/uploadDir/albumImg/thumb/20211019_621B2193B96D2E8858EE05268B0DF961.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,빌리프랩,-61,191,,Tamed-Dashed
LOVE YOURSELF 結 `Answer`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/082F468FCB1448229AE8C85EC9870951.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,BIGHIT MUSIC / HYBE,-19,160,,MIC Drop (Steve Aoki Remix) (Full Length Edition)
YOU NEVER WALK ALONE,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/DC2BA7EA8E4847A8A1B9BB8258399DE4.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,BIGHIT MUSIC / HYBE,6,41,,봄날
BORDER : CARNIVAL,ENHYPEN,https://circlechart.kr/uploadDir/albumImg/thumb/20210504_E68B3C3841E712E63ED56CC96DEC1AFE.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,빌리프랩,-24,121,,Drunk-Dazed
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/086F4A817B584F7A94844EBC728454EC.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,BIGHIT MUSIC / HYBE,-12,128,,Magic Shop
밤하늘의 별을(2020),경서,https://circlechart.kr/uploadDir/albumImg/thumb/20201117_D9172C207798B87826D3699F7EAF96B9.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,꿈의엔진,-21,124,,밤하늘의 별을(2020)
밝게 빛나는 별이 되어 비춰줄게,송이한,https://circlechart.kr/uploadDir/albumImg/thumb/20210105_D48F1D6D4289B24B7D42DBF99587E3D1.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,뮤직디자인,-24,177,,밝게 빛나는 별이 되어 비춰줄게
쇼미더머니 10 Episode 2,sokodomo,https://circlechart.kr/uploadDir/albumImg/thumb/20211116_E2BE5AF21E77613E8E44F843B1D45811.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,Stone Music Entertainment,-22,44,,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)"
Midnight Guest,프로미스나인 (fromis_9),https://circlechart.kr/uploadDir/albumImg/thumb/20220125_05A4FC44BF4262EFA3F177BE61FEF7E3.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,플레디스,-30,56,,DM
호랑수월가,탑현,https://circlechart.kr/uploadDir/albumImg/thumb/20220118_EA8CCB141A03C92EBCA56C707E68CACE.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,탑현월드,-30,69,,호랑수월가
DUMB DUMB,전소미,https://circlechart.kr/uploadDir/albumImg/thumb/20210810_783F6C524A2F88E8E9864DD898048371.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,The Black Label,-28,101,,DUMB DUMB
항해,AKMU (악뮤),https://circlechart.kr/uploadDir/albumImg/thumb/D3F20FAD1F1A45E79D1DCC9366428DE5.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,YG Entertainment,-8,92,,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
SQUARE ONE,BLACKPINK,https://circlechart.kr/uploadDir/albumImg/thumb/F0319FA88C2A4B4E831C53D985897E4B.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,YG Entertainment,-16,167,,휘파람
Return,iKON,https://circlechart.kr/uploadDir/albumImg/thumb/843E6B41A7164778AE08B19AFD7476BA.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,YG Entertainment,11,161,,사랑을 했다 (LOVE SCENARIO)
"9집 Goodbye, Grief.",자우림,https://circlechart.kr/uploadDir/albumImg/thumb/59D4E8E6A9EF48A6BCE1BB5FA992D3E9.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,사운드홀릭,hot,141,,"스물다섯, 스물하나"
SQUARE UP,BLACKPINK,https://circlechart.kr/uploadDir/albumImg/thumb/47ED8E31109C42D986D08CDB02B8AF5F.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,YG Entertainment,-12,159,,Forever Young
쇼미더머니 10 Final,BE`O (비오),https://circlechart.kr/uploadDir/albumImg/thumb/20211207_50EAD9F2955B5ADA16B210F7C56F324D.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,Stone Music Entertainment,-63,158,,네가 없는 밤 (Feat. ASH ISLAND) (Prod. GRAY)
2021 Winter SMTOWN : SMCU EXPRESS,"태용 (TAEYONG), 제노 (JENO), 헨드리 (HENDERY), 양양 (YANGYANG), 지젤 (GISELLE)",https://circlechart.kr/uploadDir/albumImg/thumb/20220104_39571E3282BC317C25045D3172F01CB1.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,SM Entertainment,-44,80,,ZOO
NOEASY,Stray Kids (스트레이 키즈),https://circlechart.kr/uploadDir/albumImg/thumb/20210831_4C0F3E85E15AAEBA7C79FEA3D9E45D31.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,JYP Entertainment,-4,68,,소리꾼
LOVE YOURSELF 結 `Answer`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/C20AF6D3388241C5BF28312693048B94.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,BIGHIT MUSIC / HYBE,-8,61,,Euphoria
ODDINARY,Stray Kids (스트레이 키즈),https://circlechart.kr/uploadDir/albumImg/thumb/20220323_F4FC89D026751EBFE10052203F8161F4.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,JYP Entertainment,new,88,,Charmer
NONSTOP,오마이걸 (OH MY GIRL),https://circlechart.kr/uploadDir/albumImg/thumb/20200505_05919E0513385D9FEB0FD05B25A89127.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,WM엔터테인먼트,-8,193,,Dolphin
MAP OF THE SOUL : 7,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/7B649271595045429671653FFAE7BD61.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,BIGHIT MUSIC / HYBE,9,83,,Black Swan
SEVENTEEN 9th Mini Album `Attacca`,세븐틴,https://circlechart.kr/uploadDir/albumImg/thumb/20211026_80E12CE74D5DCD5CACD870ED2ACC751C.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,플레디스,-15,104,,Rock with you
1+1=1,현아 & 던,https://circlechart.kr/uploadDir/albumImg/thumb/20210914_38F38F8884F71EF1EE48FB21EC61D7DB.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,피네이션,-56,198,,PING PONG
사랑인가 봐 (사내맞선 OST 스페셜 트랙),멜로망스(Melomance),https://circlechart.kr/uploadDir/albumImg/thumb/20220222_E9D5783B78ECFDCB54974DC81EC36BDF.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,플렉스엠,hot,29,,사랑인가 봐
LOVE YOURSELF 承 `Her`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/BD891B6735104F9AB1406B4685AFE9F9.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,BIGHIT MUSIC / HYBE,-6,116,,Pied Piper
LOVE YOURSELF 轉 `Tear`,방탄소년단,https://circlechart.kr/uploadDir/albumImg/thumb/919D81857A00473AA461018F53443DC1.png,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,BIGHIT MUSIC / HYBE,3,153,,Anpanman
지리산 OST Part.4,진 (JIN),https://circlechart.kr/uploadDir/albumImg/thumb/20211116_0C558C2BAAA9F187A45A9ED9440895E3.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,"에이스토리, 모스트콘텐츠",-72,192,,Yours
ELEVEN,IVE (아이브),https://circlechart.kr/uploadDir/albumImg/thumb/20211207_23F26B43EC5FA791DDB3F7FE704E67B9.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,스타쉽엔터테인먼트,-4,5,,ELEVEN
FIRST IMPACT,Kep1er (케플러),https://circlechart.kr/uploadDir/albumImg/thumb/20220111_C8E5E2699DE6A0CBF298200A55D49B31.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,"WAKEONE, 스윙엔터테인먼트",-4,10,,WA DA DA
Taste of Love,TWICE,https://circlechart.kr/uploadDir/albumImg/thumb/20210615_474F07993708CD6942441459C23DE8E2.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,JYP Entertainment,-10,60,,Alcohol-Free
Savage - The 1st Mini Album,aespa,https://circlechart.kr/uploadDir/albumImg/thumb/20211012_1041858F8DE240B944F18E04C24B37F2.jpg,https://circlechart.kr/data/api/chart/global?termGbn=month&yyyymmdd=202203,2203,SM Entertainment,-7,18,,Savage
