Name,TWITTER_ID,TWITTER_NAME,TWITTER_URL,YOUTUBE_URL,bladeTwitter,bladeYoutube,company
TVXQ!,893325893988302800,tvxq,https://twitter.com/tvxq,https://www.youtube.com/channel/UC6dXhxQtzjlEGauwEGtLuSw,https://socialblade.com/twitter/user/tvxq,https://socialblade.com/youtube/c/tvxq,SM
A.C.E,861579438244241400,official_ace7,https://twitter.com/official_ace7,https://www.youtube.com/channel/UCHs6VoM3HaRxaRlnvdtzDZQ,https://socialblade.com/twitter/user/official_ace7,https://socialblade.com/youtube/c/officialacebeat,CJ ENM
NiziU,1110738092493668400,niziu__official,https://twitter.com/niziu__official,https://www.youtube.com/channel/UCHp2q2i85qt_9nn2H7AvGOw,https://socialblade.com/twitter/user/niziu__official,https://socialblade.com/youtube/c/niziuofficial,JYP
IKON,3504585734,yg_ikonic,https://twitter.com/yg_ikonic,https://www.youtube.com/channel/UCWxCyZibDIWIrGIgP25mbfw,https://socialblade.com/twitter/user/yg_ikonic,https://socialblade.com/youtube/c/officialikon,YG
TWICE,3129056526,jypetwice,https://twitter.com/jypetwice,https://www.youtube.com/channel/UCzgxx_DM2Dcb9Y1spb9mUJA,https://socialblade.com/twitter/user/jypetwice,https://socialblade.com/youtube/c/twice,JYP
TO1,1120217350848958500,to1_offcl,https://twitter.com/to1_offcl,https://www.youtube.com/channel/UCPnd5rMdGyhvsXjY9f8DVeg,https://socialblade.com/twitter/user/to1_offcl,https://socialblade.com/youtube/c/to1official,CJ ENM
Apink,631007548,apink_2011,https://twitter.com/apink_2011,https://www.youtube.com/channel/UCmW1Pq56lA-k-GWpX1z8WPg,https://socialblade.com/twitter/user/apink_2011,https://socialblade.com/youtube/c/acubeent,Kakao Ent.
Aespa,1277453652924366800,aespa_official,https://twitter.com/aespa_official,https://www.youtube.com/channel/UC9GtSLeksfK4yuJ_g1lgQbg,https://socialblade.com/twitter/user/aespa_official,https://socialblade.com/youtube/c/aespa,SM
JO1,1204439457073488000,official_jo1,https://twitter.com/official_jo1,https://www.youtube.com/channel/UCsmXiDP8S40uBeJYxvyulmA,https://socialblade.com/twitter/user/official_jo1,https://socialblade.com/youtube/c/jo1official,CJ ENM
GirlFriend,2258740268,gfrdofficial,https://twitter.com/gfrdofficial,https://www.youtube.com/channel/UCRDd3x33kfF0IW6g2MRUkRw,https://socialblade.com/twitter/user/gfrdofficial,https://socialblade.com/youtube/c/gfrdofficial,HYBE
BoA,1288694479197581300,boa_official,https://twitter.com/boa_official,https://www.youtube.com/channel/UCYPtgd76D-o15reXD94BIoQ,https://socialblade.com/twitter/user/boa_official,https://socialblade.com/youtube/c/boa,SM
Super Junior,965487301722701800,sjofficial,https://twitter.com/sjofficial,https://www.youtube.com/channel/UCFipx49muiJ8-d2YsnLlNVw,https://socialblade.com/twitter/user/sjofficial,https://socialblade.com/youtube/c/superjunior,SM
Seventeen,956888370,pledis_17,https://twitter.com/pledis_17,https://www.youtube.com/channel/UCfkXDY7vwkcJ8ddFGz8KusA,https://socialblade.com/twitter/user/pledis_17,https://socialblade.com/youtube/c/pledis17,HYBE
DAY6,3390133696,day6official,https://twitter.com/day6official,https://www.youtube.com/channel/UCp-pqXsizklX3ZHvLxXyhxw,https://socialblade.com/twitter/user/day6official,https://socialblade.com/youtube/c/day6official,JYP
Super M,1135806843773542400,superm,https://twitter.com/superm,https://www.youtube.com/channel/UCcjV926qiLr_Ghw6A0lTNjA,https://socialblade.com/twitter/user/superm,https://socialblade.com/youtube/c/superm,SM
2PM,137779150,follow_2pm,https://twitter.com/follow_2pm,https://www.youtube.com/channel/UCBpzJvEhkemwMOkYLq9yUsA,https://socialblade.com/twitter/user/follow_2pm,https://socialblade.com/youtube/c/2pm,JYP
Girls Generation,391115625,girlsgeneration,https://twitter.com/girlsgeneration,https://www.youtube.com/channel/UCPENYtHg4Xhmm6oX8zaQA7Q,https://socialblade.com/twitter/user/girls%20generation,https://socialblade.com/youtube/c/girlsgeneration,SM
BTS,335141638,bts_twt,https://twitter.com/bts_twt,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,https://socialblade.com/twitter/user/bts_twt,https://socialblade.com/youtube/c/bangtantv,HYBE
BlackPink,878204370403250200,ygofficialblink,https://twitter.com/ygofficialblink,https://www.youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,https://socialblade.com/twitter/user/ygofficialblink,https://socialblade.com/youtube/c/blackpinkofficial,YG
ENHYPEN,1293890751848276000,enhypen,https://twitter.com/enhypen,https://www.youtube.com/channel/UCArLZtok93cO5R9RI4_Y5Jw,https://socialblade.com/twitter/user/enhypen,https://socialblade.com/youtube/c/enhypenofficial,HYBE
Treasure,1240627844868268000,treasuremembers,https://twitter.com/treasuremembers,https://www.youtube.com/channel/UCx9hXYOCvUYwrprEqe4ZQHA,https://socialblade.com/twitter/user/treasuremembers,https://socialblade.com/youtube/c/officialtreasure,YG
SMTOWN,884378714,SMTOWNGLOBAL,https://twitter.com/SMTOWNGLOBAL,https://www.youtube.com/channel/UCEf_Bc-KVd7onSeifS3py9g,https://socialblade.com/twitter/user/SMTOWNGLOBAL,https://socialblade.com/youtube/c/smtown,SM
NCT Dream,870188817537355800,nctsmtown_dream,https://twitter.com/nctsmtown_dream,https://www.youtube.com/channel/UCXURHJRGr4-EB3l87kcbElw,https://socialblade.com/twitter/user/nctsmtown_dream,https://socialblade.com/youtube/c/nctdream,SM
NCT,4811011050,nctsmtown,https://twitter.com/nctsmtown,https://www.youtube.com/channel/UCwgtORdDtUKhpjE1VBv6XfA,https://socialblade.com/twitter/user/nctsmtown,https://socialblade.com/youtube/c/nctsmtown,SM
