"﻿",company,artist,YOUTUBE_URL,TWITTER_URL,bladeYoutube,bladeTwitter,TWITTER_ID,TWITTER_NAME,t_followers,t_following,t_tweets
25,YG,BIGBANG,https://www.youtube.com/channel/UCzw-C7fNfs018R1FzIKnlaA,https://twitter.com/yg_globalvip,https://socialblade.com/youtube/c/bigbang,https://socialblade.com/twitter/user/yg_globalvip,582554285,yg_globalvip,2M,4,2317
26,YG,WINNER,https://www.youtube.com/channel/UCayQxFAoFCvGariuQCtHRGQ,https://twitter.com/yg_winner,https://socialblade.com/youtube/c/officialygwinner,https://socialblade.com/twitter/user/yg_winner,1595509214,yg_winner,250K,432,72069
27,YG,AKMU,https://www.youtube.com/channel/UCIcXK1CI8URMIqNO_1cehiQ,https://twitter.com/official_akmu,https://socialblade.com/youtube/c/officialakmu,https://socialblade.com/twitter/user/official_akmu,1166593986800291800,official_akmu,90K,14,985
28,HYBE,BTS,https://www.youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,https://twitter.com/bts_twt,https://socialblade.com/youtube/c/bangtantv,https://socialblade.com/twitter/user/bts_twt,335141638,bts_twt,48M,135,12915
29,HYBE,Seventeen,https://www.youtube.com/channel/UCfkXDY7vwkcJ8ddFGz8KusA,https://twitter.com/pledis_17,https://socialblade.com/youtube/c/pledis17,https://socialblade.com/twitter/user/pledis_17,956888370,pledis_17,11M,7,19313
30,HYBE,TXT,https://www.youtube.com/channel/UCtiObj3CsEAdNU6ZPWDsddQ,https://twitter.com/txt_bighit,https://socialblade.com/youtube/c/txtbighit,https://socialblade.com/twitter/user/txt_bighit,1083198663424237600,txt_bighit,10M,8,3397
31,HYBE,GirlFriend,https://www.youtube.com/channel/UCRDd3x33kfF0IW6g2MRUkRw,https://twitter.com/gfrdofficial,https://socialblade.com/youtube/c/gfrdofficial,https://socialblade.com/twitter/user/gfrdofficial,2258740268,gfrdofficial,1M,7,6636
32,HYBE,ENHYPEN,https://www.youtube.com/channel/UCArLZtok93cO5R9RI4_Y5Jw,https://twitter.com/enhypen,https://socialblade.com/youtube/c/enhypenofficial,https://socialblade.com/twitter/user/enhypen,1293890751848276000,enhypen,6M,7,2489
33,HYBE,Fromis9,https://www.youtube.com/channel/UC8qO5racajmy4YgPgNJkVXg,https://twitter.com/realfromis_9,https://socialblade.com/youtube/c/officialfromis9,https://socialblade.com/twitter/user/realfromis_9,844819971582574600,realfromis_9,462K,3,9976
34,HYBE,LE SSERAFIM,https://www.youtube.com/channel/UCs-QBT4qkj_YiQw1ZntDO3g,https://twitter.com/le_sserafim,https://socialblade.com/youtube/c/lesserafimofficial,https://socialblade.com/twitter/user/le_sserafim,1476733619620450300,le_sserafim,751K,5,547
35,HYBE,NewJeans,https://www.youtube.com/channel/UCMki_UkHb4qSc0qyEcOHHJw,https://twitter.com/newjeans_ador,https://socialblade.com/youtube/c/newjeansofficial,https://socialblade.com/twitter/user/newjeans_ador,1476476838180696000,newjeans_ador,642K,4,320
36,HYBE,지코,https://www.youtube.com/channel/UClOZoLNwJVdNzkEhzeevBSA,https://twitter.com/zico92,https://socialblade.com/youtube/c/zicoofficial,https://socialblade.com/twitter/user/zico92,219596665,zico92,1M,0,3556
37,Kakao Ent.,IVE (아이브),https://www.youtube.com/channel/UC-Fnix71vRP64WXeo0ikd0Q,https://twitter.com/ivestarship,https://socialblade.com/youtube/c/ivestarship,https://socialblade.com/twitter/user/ivestarship,1402182579265048600,ivestarship,1M,5,3398
38,Kakao Ent.,더보이즈(THE BOYZ),https://www.youtube.com/channel/UCkJ1rbOrsyPfBuHNfnLPm-Q,https://twitter.com/we_the_boyz,https://socialblade.com/youtube/c/theboyzofficial,https://socialblade.com/twitter/user/ist_theboyz,946322930031403000,we_the_boyz,2M,1,8749
39,Kakao Ent.,골든차일드,https://www.youtube.com/channel/UC2EeIV6pzZDIAgp8hV_MGew,https://twitter.com/goldenchild,https://socialblade.com/youtube/c/goldenchild,https://socialblade.com/twitter/user/goldenchild,845170774939906000,goldenchild,348K,4,8012
40,Kakao Ent.,Apink,https://www.youtube.com/channel/UCmW1Pq56lA-k-GWpX1z8WPg,https://twitter.com/apink_2011,https://socialblade.com/youtube/c/acubeent,https://socialblade.com/twitter/user/apink_2011,631007548,apink_2011,857K,8,10838
41,Kakao Ent.,몬스타엑스,https://www.youtube.com/channel/UCZvCP6sWj75MwpUP4LVtpNw,https://twitter.com/officialmonstax,https://socialblade.com/youtube/c/monstax,https://socialblade.com/twitter/user/officialmonstax,3030158859,officialmonstax,5M,28,19963
42,Kakao Ent.,우주소녀,https://www.youtube.com/channel/UCVaIiqzfKQsi7Qw4-X8TmmA,https://twitter.com/wjsn_cosmic,https://socialblade.com/youtube/c/cosmicgirls,https://socialblade.com/twitter/user/wjsn_cosmic,4439470045,wjsn_cosmic,403K,9,15533
43,CJ ENM,ENHYPEN,https://www.youtube.com/channel/UCArLZtok93cO5R9RI4_Y5Jw,https://twitter.com/ENHYPEN,https://socialblade.com/youtube/c/enhypenofficial,https://socialblade.com/twitter/user/ENHYPEN,1293890751848276000,ENHYPEN,6M,7,2489
44,CJ ENM,JO1,https://www.youtube.com/channel/UCsmXiDP8S40uBeJYxvyulmA,https://twitter.com/official_jo1,https://socialblade.com/youtube/c/jo1official,https://socialblade.com/twitter/user/official_jo1,1204439457073488000,official_jo1,481K,2,4376
45,CJ ENM,INI,https://www.youtube.com/channel/UCc-itdQHxLvUlPrDxIiSJrA,https://twitter.com/official__ini,https://socialblade.com/youtube/channel/UCc-itdQHxLvUlPrDxIiSJrA/,https://socialblade.com/twitter/user/official__ini,1402566462179475500,official__ini,410K,2,2173
46,CJ ENM,Kep1er,https://www.youtube.com/channel/UC8whlOg70m2Yr3qSMjUhh0g,https://twitter.com/official_kep1er,https://socialblade.com/youtube/c/kep1er_offcl,https://socialblade.com/twitter/user/official_kep1er,1448627067856179200,official_kep1er,1M,2,4007
47,CJ ENM,TO1,https://www.youtube.com/channel/UCPnd5rMdGyhvsXjY9f8DVeg,https://twitter.com/to1_offcl,https://socialblade.com/youtube/c/to1official,https://socialblade.com/twitter/user/to1_offcl,1120217350848958500,to1_offcl,218K,20,2605
48,CJ ENM,A.C.E,https://www.youtube.com/channel/UCHs6VoM3HaRxaRlnvdtzDZQ,https://twitter.com/official_ace7,https://socialblade.com/youtube/c/officialacebeat,https://socialblade.com/twitter/user/official_ace7,861579438244241400,official_ace7,541K,3,14408
49,CJ ENM,VIVIZ,https://www.youtube.com/channel/UCWFMjDuWKlct0jy89k2kkRA,https://twitter.com/viviz_official,https://socialblade.com/youtube/c/vivizofficial,https://socialblade.com/youtube/c/viviz_official,1441319485638463500,viviz_official,213K,2,1097
